CMDLINE python main.py
MEM 0.445312 1569653750.5175
MEM 16.097656 1569653750.6210
MEM 24.363281 1569653750.7259
MEM 36.222656 1569653750.8298
MEM 43.027344 1569653750.9336
MEM 45.125000 1569653751.0367
MEM 45.664062 1569653751.1427
MEM 46.171875 1569653751.2469
MEM 46.171875 1569653751.3510
MEM 46.171875 1569653751.4542
MEM 46.171875 1569653751.5588
MEM 46.175781 1569653751.6645
MEM 46.179688 1569653751.7676
MEM 46.179688 1569653751.8713
MEM 46.179688 1569653751.9750
MEM 46.179688 1569653752.0791
MEM 46.179688 1569653752.1833
MEM 46.179688 1569653752.2875
MEM 46.179688 1569653752.3916
MEM 46.179688 1569653752.4963
MEM 46.179688 1569653752.5999
MEM 46.179688 1569653752.7041
MEM 46.179688 1569653752.8078
MEM 46.179688 1569653752.9114
MEM 46.179688 1569653753.0156
MEM 46.179688 1569653753.1192
MEM 46.179688 1569653753.2229
MEM 46.179688 1569653753.3266
MEM 46.179688 1569653753.4302
MEM 46.183594 1569653753.5339
MEM 46.183594 1569653753.6381
MEM 46.183594 1569653753.7432
MEM 46.183594 1569653753.8469
MEM 46.183594 1569653753.9510
MEM 46.183594 1569653754.0552
MEM 46.183594 1569653754.1599
MEM 46.183594 1569653754.2635
MEM 46.183594 1569653754.3677
MEM 46.183594 1569653754.4718
MEM 46.183594 1569653754.5760
MEM 46.183594 1569653754.6802
MEM 46.183594 1569653754.7838
MEM 46.183594 1569653754.8875
MEM 46.183594 1569653754.9922
MEM 46.183594 1569653755.0958
MEM 46.183594 1569653755.1995
MEM 46.183594 1569653755.3031
MEM 46.183594 1569653755.4073
MEM 46.183594 1569653755.5119
MEM 46.183594 1569653755.6161
MEM 46.183594 1569653755.7198
MEM 46.183594 1569653755.8245
MEM 46.183594 1569653755.9281
MEM 46.183594 1569653756.0323
MEM 46.183594 1569653756.1359
MEM 46.183594 1569653756.2396
MEM 46.183594 1569653756.3443
MEM 46.183594 1569653756.4479
MEM 46.183594 1569653756.5521
MEM 46.183594 1569653756.6557
MEM 46.183594 1569653756.7609
MEM 46.183594 1569653756.8650
MEM 46.183594 1569653756.9692
MEM 46.183594 1569653757.0729
MEM 46.183594 1569653757.1770
MEM 46.183594 1569653757.2817
MEM 46.183594 1569653757.3858
MEM 46.183594 1569653757.4900
MEM 46.183594 1569653757.5942
MEM 46.183594 1569653757.6983
MEM 46.183594 1569653757.8025
MEM 46.183594 1569653757.9056
MEM 46.183594 1569653758.0103
MEM 46.183594 1569653758.1140
MEM 46.183594 1569653758.2182
MEM 46.183594 1569653758.3223
MEM 46.183594 1569653758.4270
MEM 46.183594 1569653758.5311
MEM 46.183594 1569653758.6348
MEM 46.183594 1569653758.7389
MEM 46.183594 1569653758.8436
MEM 46.183594 1569653758.9472
MEM 46.183594 1569653759.0509
MEM 46.183594 1569653759.1546
MEM 46.183594 1569653759.2587
MEM 46.183594 1569653759.3624
MEM 46.183594 1569653759.4661
MEM 46.183594 1569653759.5692
MEM 46.183594 1569653759.6734
MEM 46.183594 1569653759.7771
MEM 46.183594 1569653759.8817
MEM 46.183594 1569653759.9854
MEM 46.183594 1569653760.0885
MEM 46.183594 1569653760.1927
MEM 46.183594 1569653760.2969
MEM 46.183594 1569653760.4005
MEM 46.183594 1569653760.5047
MEM 46.183594 1569653760.6084
MEM 46.183594 1569653760.7130
MEM 46.183594 1569653760.8167
MEM 46.183594 1569653760.9208
MEM 46.183594 1569653761.0250
MEM 46.183594 1569653761.1292
MEM 46.183594 1569653761.2333
MEM 46.183594 1569653761.3370
MEM 46.183594 1569653761.4411
MEM 46.183594 1569653761.5448
MEM 46.183594 1569653761.6490
MEM 46.183594 1569653761.7526
MEM 46.183594 1569653761.8563
MEM 46.183594 1569653761.9604
MEM 46.183594 1569653762.0641
MEM 46.183594 1569653762.1678
MEM 46.183594 1569653762.2720
MEM 46.183594 1569653762.3756
MEM 46.183594 1569653762.4793
MEM 46.183594 1569653762.5839
MEM 46.183594 1569653762.6876
MEM 46.183594 1569653762.7917
MEM 46.183594 1569653762.8954
MEM 46.183594 1569653762.9996
MEM 46.183594 1569653763.1033
MEM 46.183594 1569653763.2074
MEM 46.183594 1569653763.3121
MEM 46.183594 1569653763.4157
MEM 46.183594 1569653763.5199
MEM 46.183594 1569653763.6246
MEM 46.183594 1569653763.7287
MEM 46.183594 1569653763.8324
MEM 46.187500 1569653763.9365
MEM 46.187500 1569653764.0412
MEM 46.187500 1569653764.1454
MEM 46.187500 1569653764.2500
MEM 46.187500 1569653764.3536
MEM 46.187500 1569653764.4578
MEM 46.187500 1569653764.5625
MEM 46.187500 1569653764.6666
MEM 46.187500 1569653764.7698
MEM 46.187500 1569653764.8735
MEM 46.187500 1569653764.9781
MEM 46.187500 1569653765.0818
MEM 46.187500 1569653765.1854
MEM 46.187500 1569653765.2896
MEM 46.187500 1569653765.3943
MEM 46.187500 1569653765.4979
MEM 46.187500 1569653765.6016
MEM 46.187500 1569653765.7052
MEM 46.187500 1569653765.8124
MEM 46.187500 1569653765.9160
MEM 46.187500 1569653766.0192
MEM 46.187500 1569653766.1259
MEM 46.187500 1569653766.2300
MEM 46.187500 1569653766.3342
MEM 46.187500 1569653766.4378
MEM 46.187500 1569653766.5420
MEM 46.187500 1569653766.6462
MEM 46.187500 1569653766.7503
MEM 46.187500 1569653766.8545
MEM 46.187500 1569653766.9586
MEM 46.187500 1569653767.0628
MEM 46.187500 1569653767.1665
MEM 46.187500 1569653767.2701
MEM 46.187500 1569653767.3738
MEM 46.187500 1569653767.4784
MEM 46.187500 1569653767.5826
MEM 46.187500 1569653767.6863
MEM 46.187500 1569653767.7904
MEM 46.187500 1569653767.8951
MEM 46.187500 1569653767.9992
MEM 46.187500 1569653768.1034
MEM 46.187500 1569653768.2076
MEM 46.187500 1569653768.3132
MEM 46.187500 1569653768.4174
MEM 46.187500 1569653768.5215
MEM 46.187500 1569653768.6262
MEM 46.187500 1569653768.7304
MEM 46.187500 1569653768.8340
MEM 46.187500 1569653768.9382
MEM 46.187500 1569653769.0429
MEM 46.187500 1569653769.1505
MEM 46.187500 1569653769.2541
MEM 46.187500 1569653769.3588
MEM 46.187500 1569653769.4634
MEM 46.187500 1569653769.5676
MEM 46.187500 1569653769.6718
MEM 46.187500 1569653769.7759
MEM 46.187500 1569653769.8796
MEM 46.187500 1569653769.9842
MEM 46.187500 1569653770.0879
MEM 46.187500 1569653770.1921
MEM 46.187500 1569653770.2962
MEM 46.187500 1569653770.4004
MEM 46.187500 1569653770.5045
MEM 46.187500 1569653770.6087
MEM 46.187500 1569653770.7124
MEM 46.187500 1569653770.8171
MEM 46.187500 1569653770.9207
MEM 46.187500 1569653771.0249
MEM 46.187500 1569653771.1290
MEM 46.187500 1569653771.2327
MEM 46.187500 1569653771.3363
MEM 46.187500 1569653771.4400
MEM 46.187500 1569653771.5447
MEM 46.187500 1569653771.6483
MEM 46.187500 1569653771.7525
MEM 46.187500 1569653771.8566
MEM 46.187500 1569653771.9618
MEM 46.187500 1569653772.0655
MEM 46.187500 1569653772.1691
MEM 46.187500 1569653772.2728
MEM 46.187500 1569653772.3770
MEM 46.187500 1569653772.4806
MEM 46.187500 1569653772.5848
MEM 46.187500 1569653772.6885
MEM 46.187500 1569653772.7931
MEM 46.187500 1569653772.8968
MEM 46.187500 1569653773.0009
MEM 46.187500 1569653773.1051
MEM 46.187500 1569653773.2093
MEM 46.187500 1569653773.3134
MEM 46.187500 1569653773.4171
MEM 46.187500 1569653773.5212
MEM 46.187500 1569653773.6249
MEM 46.187500 1569653773.7290
MEM 46.187500 1569653773.8332
MEM 46.187500 1569653773.9374
MEM 46.187500 1569653774.0420
MEM 46.187500 1569653774.1462
MEM 46.187500 1569653774.2498
MEM 46.187500 1569653774.3540
MEM 46.187500 1569653774.4582
MEM 46.187500 1569653774.5623
MEM 46.187500 1569653774.6655
MEM 46.187500 1569653774.7697
MEM 46.187500 1569653774.8738
MEM 46.187500 1569653774.9780
MEM 46.187500 1569653775.0816
MEM 46.187500 1569653775.1853
MEM 46.187500 1569653775.2890
MEM 46.187500 1569653775.3936
MEM 46.187500 1569653775.4978
MEM 46.187500 1569653775.6020
MEM 46.187500 1569653775.7066
MEM 46.187500 1569653775.8108
MEM 46.187500 1569653775.9139
MEM 46.187500 1569653776.0181
MEM 46.187500 1569653776.1218
MEM 46.187500 1569653776.2254
MEM 46.187500 1569653776.3296
MEM 46.187500 1569653776.4333
MEM 46.187500 1569653776.5369
MEM 46.187500 1569653776.6411
MEM 46.187500 1569653776.7457
MEM 46.187500 1569653776.8494
MEM 46.187500 1569653776.9531
MEM 46.187500 1569653777.0567
MEM 46.187500 1569653777.1614
MEM 46.187500 1569653777.2645
MEM 46.187500 1569653777.3677
MEM 46.187500 1569653777.4719
MEM 46.187500 1569653777.5760
MEM 46.187500 1569653777.6797
MEM 46.187500 1569653777.7838
MEM 46.187500 1569653777.8875
MEM 46.187500 1569653777.9927
MEM 46.187500 1569653778.0963
MEM 46.187500 1569653778.2005
MEM 46.187500 1569653778.3046
MEM 46.187500 1569653778.4088
MEM 46.187500 1569653778.5125
MEM 46.187500 1569653778.6161
MEM 46.187500 1569653778.7198
MEM 46.187500 1569653778.8240
MEM 46.187500 1569653778.9281
MEM 46.187500 1569653779.0323
